model_no,metric,pearson_corr,n_obs
22SJ-3,precip_mm,0.07009910326355935,425
22SJ-3,sunshine_h,0.05990201577900844,425
22SJ-3,temp_max_c,0.03867309164858098,425
22SJ-3,temp_avg_c,0.03379361609874516,425
22SJ-3,temp_min_c,0.016010758477687435,425
22SJ-3,humidity_pct,-0.04044733323656,425
22SJ-3,snowfall_cm,-0.04643808514728373,425
NB-1,temp_max_c,0.08774294029458576,6716
NB-1,temp_avg_c,0.08322815901052764,6716
NB-1,temp_min_c,0.07821246521446933,6716
NB-1,sunshine_h,0.02185334791479526,6716
NB-1,precip_mm,0.009717992380625113,6716
NB-1,humidity_pct,-0.0017385237787795327,6716
NB-1,snowfall_cm,-0.024033755424384372,6716
