model_no,region,metric,pearson_corr,n_obs
22SJ-3,中部,sunshine_h,0.18521231169515245,90
22SJ-3,中部,temp_max_c,0.10223154314496351,90
22SJ-3,中部,temp_avg_c,0.07304217886745397,90
22SJ-3,中部,temp_min_c,0.0314503680209943,90
22SJ-3,中部,humidity_pct,-0.08662961010181063,90
22SJ-3,中部,snowfall_cm,-0.08970813692583456,90
22SJ-3,中部,precip_mm,-0.12360276086117471,90
22SJ-3,北海道,sunshine_h,0.08031099822326201,48
22SJ-3,北海道,snowfall_cm,-0.09010164786539304,48
22SJ-3,北海道,temp_avg_c,-0.10359607623570956,48
22SJ-3,北海道,temp_min_c,-0.10499168157119265,48
22SJ-3,北海道,temp_max_c,-0.11646064696936068,48
22SJ-3,北海道,precip_mm,-0.1557533234743726,48
22SJ-3,北海道,humidity_pct,-0.18316959697657278,48
22SJ-3,東北,precip_mm,0.14804349322969731,46
22SJ-3,東北,humidity_pct,0.09096055522056937,46
22SJ-3,東北,snowfall_cm,0.02221671029397311,46
22SJ-3,東北,temp_avg_c,-0.02207747801294553,46
22SJ-3,東北,temp_min_c,-0.0241802504033923,46
22SJ-3,東北,temp_max_c,-0.025210964055754334,46
22SJ-3,東北,sunshine_h,-0.07931246051874266,46
22SJ-3,近畿,sunshine_h,0.19659453150857478,56
22SJ-3,近畿,snowfall_cm,-0.010037520660256406,56
22SJ-3,近畿,precip_mm,-0.045019554485379885,56
22SJ-3,近畿,temp_max_c,-0.04783531631549113,56
22SJ-3,近畿,temp_avg_c,-0.07951120765324791,56
22SJ-3,近畿,temp_min_c,-0.10831396082210962,56
22SJ-3,近畿,humidity_pct,-0.1852182923401076,56
22SJ-3,関東,sunshine_h,0.04572194053342386,131
22SJ-3,関東,temp_max_c,0.019044235892707193,131
22SJ-3,関東,temp_avg_c,0.005404431899326074,131
22SJ-3,関東,temp_min_c,-0.023333389147272895,131
22SJ-3,関東,snowfall_cm,-0.036501141775472375,131
22SJ-3,関東,humidity_pct,-0.04248583549394118,131
22SJ-3,関東,precip_mm,-0.05683562225866349,131
NB-1,中国,temp_min_c,0.08495341024004117,618
NB-1,中国,temp_avg_c,0.07539384851144475,618
NB-1,中国,temp_max_c,0.06641574476816707,618
NB-1,中国,humidity_pct,0.039680356342227,618
NB-1,中国,precip_mm,0.014865700024797989,618
NB-1,中国,sunshine_h,0.00043199395267080225,618
NB-1,中国,snowfall_cm,-0.013711572449255064,618
NB-1,中部,temp_max_c,0.1141368484300751,1357
NB-1,中部,temp_avg_c,0.10918460316505635,1357
NB-1,中部,temp_min_c,0.09977061490667154,1357
NB-1,中部,sunshine_h,0.056190529007280825,1357
NB-1,中部,precip_mm,-0.007568295102036974,1357
NB-1,中部,humidity_pct,-0.04571282130233318,1357
NB-1,中部,snowfall_cm,-0.052322066068599835,1357
NB-1,九州沖縄,sunshine_h,0.04857704414386896,644
NB-1,九州沖縄,temp_max_c,0.03730838303494454,644
NB-1,九州沖縄,temp_avg_c,0.031238340928548075,644
NB-1,九州沖縄,temp_min_c,0.02550304167227069,644
NB-1,九州沖縄,snowfall_cm,-0.015084981836772945,644
NB-1,九州沖縄,precip_mm,-0.018194091160401108,644
NB-1,九州沖縄,humidity_pct,-0.02956729892012019,644
NB-1,北海道,sunshine_h,0.13485674796901093,203
NB-1,北海道,snowfall_cm,0.03084378045620677,203
NB-1,北海道,temp_max_c,0.023817980925406313,203
NB-1,北海道,temp_avg_c,0.004105543193882496,203
NB-1,北海道,temp_min_c,-0.00811728132266594,203
NB-1,北海道,humidity_pct,-0.06272754258409734,203
NB-1,北海道,precip_mm,-0.07660535927346945,203
NB-1,四国,sunshine_h,0.06387595051042329,263
NB-1,四国,precip_mm,0.027462072833358088,263
NB-1,四国,temp_max_c,-0.009700610373969713,263
NB-1,四国,humidity_pct,-0.009912152913923349,263
NB-1,四国,temp_avg_c,-0.019824948945034532,263
NB-1,四国,snowfall_cm,-0.030230281736464495,263
NB-1,四国,temp_min_c,-0.03635564725454181,263
NB-1,東北,precip_mm,0.08256803940888671,401
NB-1,東北,temp_min_c,0.04559382257563545,401
NB-1,東北,temp_avg_c,0.041027937145957837,401
NB-1,東北,temp_max_c,0.033224620019296006,401
NB-1,東北,humidity_pct,0.02180097289210458,401
NB-1,東北,snowfall_cm,0.01030022473923799,401
NB-1,東北,sunshine_h,-0.00044709724826289747,401
NB-1,近畿,temp_avg_c,0.10597539281225524,1288
NB-1,近畿,temp_max_c,0.10452876808279418,1288
NB-1,近畿,temp_min_c,0.0998769544537464,1288
NB-1,近畿,precip_mm,0.06661432988652043,1288
NB-1,近畿,humidity_pct,0.02122692057402202,1288
NB-1,近畿,sunshine_h,0.011627583771381789,1288
NB-1,近畿,snowfall_cm,-0.02863378022527607,1288
NB-1,関東,temp_avg_c,0.15455050193720377,1942
NB-1,関東,temp_min_c,0.15398192272958217,1942
NB-1,関東,temp_max_c,0.14966346067302724,1942
NB-1,関東,humidity_pct,0.07304116365822753,1942
NB-1,関東,precip_mm,0.026463553415740877,1942
NB-1,関東,snowfall_cm,0.013656339299673293,1942
NB-1,関東,sunshine_h,-0.008381174037218048,1942
