品番,指標,相関係数,サンプル数
22SJ-3,降水量,0.07009910326355935,425
22SJ-3,日照時間,0.05990201577900844,425
22SJ-3,最高気温,0.03867309164858098,425
22SJ-3,平均気温,0.03379361609874516,425
22SJ-3,最低気温,0.016010758477687435,425
22SJ-3,平均湿度,-0.04044733323656,425
22SJ-3,降雪量,-0.04643808514728373,425
NB-1,最高気温,0.08774294029458576,6716
NB-1,平均気温,0.08322815901052764,6716
NB-1,最低気温,0.07821246521446933,6716
NB-1,日照時間,0.02185334791479526,6716
NB-1,降水量,0.009717992380625113,6716
NB-1,平均湿度,-0.0017385237787795327,6716
NB-1,降雪量,-0.024033755424384372,6716
