売上日,地域,品番,売上数量合計,売上金額合計,JAN数,明細行数,date,平均気温,最高気温,最低気温,降水量,日照時間,降雪量,平均湿度,地点数,日付
2015-01-08,中国,NB-1,3.0,22320.0,1,2,2015-01-08,4.857142857142857,7.8428571428571425,2.142857142857143,0.8571428571428571,1.9857142857142855,0.0,69.0,7,2015-01-08
2015-01-08,中部,NB-1,4.0,29520.0,1,2,2015-01-08,2.42,6.533333333333333,-0.8133333333333332,1.8666666666666667,5.14,0.5454545454545454,64.06666666666666,15,2015-01-08
2015-01-08,九州沖縄,NB-1,2.0,14796.0,1,2,2015-01-08,6.6875,10.425,3.6125,0.0,5.8,0.0,57.0,8,2015-01-08
2015-01-08,東北,NB-1,1.0,7560.0,1,1,2015-01-08,0.95,3.0625,-1.375,2.0625,1.75,3.0,68.875,8,2015-01-08
2015-01-08,近畿,NB-1,3.0,20796.0,1,2,2015-01-08,4.375,7.2375,2.525,1.1875,2.75,0.0,69.375,8,2015-01-08
2015-01-08,関東,NB-1,1.0,7560.0,1,1,2015-01-08,4.888888888888889,10.322222222222225,0.4777777777777777,0.0,9.233333333333334,0.0,39.44444444444444,9,2015-01-08
2015-01-09,中部,NB-1,2.0,15360.0,1,1,2015-01-09,2.713333333333333,6.906666666666666,-1.24,1.9666666666666663,5.573333333333333,0.0909090909090909,62.53333333333333,15,2015-01-09
2015-01-09,近畿,NB-1,1.0,7560.0,1,1,2015-01-09,4.7625,7.5125,2.9125,2.0625,1.8125,0.0,74.125,8,2015-01-09
2015-01-09,関東,NB-1,3.0,20880.0,1,1,2015-01-09,4.800000000000001,10.233333333333333,0.7666666666666666,0.0,9.333333333333334,0.0,40.55555555555556,9,2015-01-09
2015-01-13,中部,NB-1,2.0,14400.0,1,1,2015-01-13,2.9133333333333336,8.04,-1.4,0.0,6.22,0.0909090909090909,63.4,15,2015-01-13
2015-01-13,東北,NB-1,1.0,7560.0,1,1,2015-01-13,2.9,5.8,0.625,0.0625,4.05,0.0,60.75,8,2015-01-13
2015-01-13,近畿,NB-1,5.0,36000.0,1,1,2015-01-13,5.3,8.6,1.6875,0.0,1.5375,0.0,63.75,8,2015-01-13
