商品コード,入出荷日,入荷数
4524486093630,2021-03-03,2.0
4524486093630,2021-09-14,3.0
4524486093630,2022-05-20,4.0
4524486093630,2022-11-11,6.0
4524486093630,2023-02-16,3.0
4524486093630,2023-04-14,3.0
4524486093630,2023-06-20,3.0
4524486093630,2023-08-28,3.0
4524486093630,2023-11-01,7.0
4524486093630,2025-05-20,3.0
4524486093630,2026-01-28,3.0
4524486093630,2026-03-31,5.0
4524486093647,2021-03-03,3.0
4524486093647,2021-09-14,5.0
4524486093647,2022-05-20,8.0
4524486093647,2022-11-11,6.0
4524486093647,2022-11-11,4.0
4524486093647,2023-04-14,5.0
4524486093647,2023-08-28,11.0
4524486093647,2024-03-06,4.0
4524486093647,2024-06-14,3.0
4524486093647,2024-12-28,4.0
4524486093647,2025-02-05,2.0
4524486093647,2025-03-24,1.0
4524486093647,2025-05-20,5.0
4524486093647,2025-08-26,5.0
4524486093647,2026-01-28,3.0
4524486093654,2021-03-03,2.0
4524486093654,2021-09-14,6.0
4524486093654,2022-05-20,2.0
4524486093654,2022-10-12,2.0
4524486093654,2022-11-11,6.0
4524486093654,2022-11-11,4.0
4524486093654,2023-04-14,3.0
4524486093654,2023-06-20,4.0
4524486093654,2023-08-28,8.0
4524486093654,2024-03-06,4.0
4524486093654,2024-06-14,1.0
4524486093654,2024-07-10,9.0
4524486093654,2024-09-10,1.0
4524486093661,2021-03-03,6.0
4524486093661,2021-03-31,5.0
4524486093661,2022-02-15,3.0
4524486093661,2022-05-20,3.0
4524486093661,2022-05-20,2.0
4524486093661,2022-07-12,1.0
4524486093661,2022-07-12,5.0
4524486093661,2022-08-12,5.0
4524486093661,2022-10-12,7.0
4524486093661,2023-01-16,3.0
4524486093661,2023-02-16,4.0
4524486093661,2023-04-14,5.0
4524486093661,2023-05-23,5.0
4524486093661,2023-06-20,10.0
4524486093661,2023-08-01,5.0
4524486093661,2023-08-28,5.0
4524486093661,2023-11-01,15.0
4524486093661,2023-11-01,3.0
4524486093661,2023-12-19,15.0
4524486093661,2024-07-10,5.0
4524486093661,2024-11-21,7.0
4524486093661,2024-12-28,4.0
4524486093661,2025-05-20,11.0
4524486093661,2025-07-15,9.0
4524486093661,2025-10-22,10.0
4524486093661,2025-12-01,6.0
4524486093661,2026-01-28,4.0
4524486093661,2026-01-28,10.0
4524486093661,2026-03-31,4.0
4524486093678,2021-03-03,10.0
4524486093678,2021-03-31,8.0
4524486093678,2022-02-15,6.0
4524486093678,2022-05-20,6.0
4524486093678,2022-05-20,4.0
4524486093678,2022-07-12,7.0
4524486093678,2022-09-14,7.0
4524486093678,2022-10-12,12.0
4524486093678,2023-01-16,4.0
4524486093678,2023-02-16,16.0
4524486093678,2023-04-14,10.0
4524486093678,2023-05-23,5.0
4524486093678,2023-06-20,15.0
4524486093678,2023-08-01,10.0
4524486093678,2023-11-01,10.0
4524486093678,2023-11-01,3.0
4524486093678,2023-12-19,22.0
4524486093678,2024-04-03,7.0
4524486093678,2024-05-07,2.0
4524486093678,2024-06-14,1.0
4524486093678,2024-07-10,2.0
4524486093678,2024-11-21,15.0
4524486093678,2025-02-05,1.0
4524486093678,2025-03-24,8.0
4524486093678,2025-05-20,13.0
4524486093678,2025-07-15,8.0
4524486093678,2025-08-26,9.0
4524486093678,2025-10-22,20.0
4524486093678,2025-12-01,20.0
4524486093678,2026-03-31,4.0
4524486093678,2026-03-31,3.0
4524486093685,2021-03-03,10.0
4524486093685,2021-03-31,5.0
4524486093685,2021-12-28,3.0
4524486093685,2022-02-15,3.0
4524486093685,2022-05-20,3.0
4524486093685,2022-05-20,6.0
4524486093685,2022-07-12,2.0
4524486093685,2022-07-12,6.0
4524486093685,2022-08-12,6.0
4524486093685,2022-10-12,3.0
4524486093685,2023-01-16,2.0
4524486093685,2023-02-16,13.0
4524486093685,2023-04-14,10.0
4524486093685,2023-05-23,5.0
4524486093685,2023-06-20,5.0
4524486093685,2023-08-01,5.0
4524486093685,2023-08-01,5.0
4524486093685,2023-11-01,26.0
4524486093685,2023-11-01,3.0
