商品コード,在庫切れ日,入荷再開日,在庫ゼロ日数
4524486093630,2021-04-07,2021-09-14,160
4524486093630,2022-02-16,2022-05-20,93
4524486093630,2022-09-08,2022-11-11,64
4524486093630,2025-10-14,2026-01-28,106
4524486093630,2026-02-02,2026-03-31,57
4524486093647,2022-02-08,2022-05-20,101
4524486093647,2022-10-26,2022-11-11,16
4524486093647,2025-05-13,2025-05-20,7
4524486093647,2025-12-28,2026-01-28,31
4524486093654,2021-05-05,2021-09-14,132
4524486093654,2022-02-21,2022-05-20,88
4524486093654,2022-07-05,2022-10-12,99
4524486093661,2021-11-30,2022-02-15,77
4524486093661,2022-04-05,2022-05-20,45
4524486093661,2022-06-17,2022-07-12,25
4524486093661,2023-02-01,2023-02-16,15
4524486093661,2023-02-22,2023-04-14,51
4524486093661,2023-05-16,2023-05-23,7
4524486093661,2025-04-25,2025-05-20,25
4524486093661,2025-10-02,2025-10-22,20
4524486093661,2025-11-17,2025-12-01,14
4524486093661,2025-12-12,2026-01-28,47
4524486093678,2021-10-22,2022-02-15,116
4524486093678,2022-04-05,2022-05-20,45
4524486093678,2025-05-02,2025-05-20,18
4524486093678,2025-10-15,2025-10-22,7
4524486093678,2026-03-23,2026-03-31,8
4524486093685,2021-10-22,2021-12-28,67
4524486093685,2022-04-06,2022-05-20,44
4524486093685,2022-11-29,2023-01-16,48
4524486093685,2023-02-01,2023-02-16,15
4524486093685,2023-04-04,2023-04-14,10
4524486093685,2025-01-24,2025-02-05,12
4524486093685,2025-04-22,2025-05-20,28
4524486093685,2026-03-25,2026-03-31,6
4524486093692,2021-12-29,2022-04-07,99
4524486093692,2022-05-06,2022-07-12,67
4524486093692,2025-02-21,2025-03-24,31
4524486093692,2025-04-01,2025-05-20,49
4524486093692,2025-05-22,2025-07-15,54
4524486093692,2026-03-26,2026-03-31,5
4524486093708,2022-04-04,2022-04-07,3
4524486093708,2022-05-24,2022-07-12,49
4524486093708,2023-04-04,2023-04-14,10
4524486093708,2025-04-23,2025-05-20,27
4524486093708,2025-06-19,2025-07-15,26
4524486093708,2025-10-15,2025-10-22,7
4524486093708,2026-01-06,2026-01-28,22
4524486093708,2026-03-23,2026-03-31,8
4524486093715,2021-12-03,2022-04-07,125
4524486093715,2023-03-07,2023-04-14,38
4524486093715,2023-03-22,2023-04-14,23
4524486093715,2025-04-15,2025-05-20,35
4524486093715,2025-07-08,2025-07-15,7
4524486093715,2026-02-04,2026-03-31,55
4524486094958,2022-01-08,2022-05-20,132
4524486094958,2022-06-01,2022-07-12,41
4524486094958,2025-03-10,2025-05-20,71
4524486094958,2025-12-02,2026-01-28,57
4524486094965,2022-03-23,2022-05-20,58
4524486094965,2024-11-18,2024-11-21,3
4524486094965,2025-03-18,2025-05-20,63
4524486094965,2025-05-23,2025-07-15,53
4524486094965,2026-01-22,2026-03-31,68
4524486094965,2026-03-30,2026-03-31,1
4524486094972,2022-03-01,2022-05-20,80
4524486094972,2025-03-12,2025-05-20,69
4524486094972,2025-03-21,2025-05-20,60
4524486097959,2023-03-18,2023-06-20,94
4524486097959,2023-10-11,2023-12-19,69
4524486097966,2023-05-12,2023-08-28,108
4524486097966,2024-02-23,2024-03-06,12
4524486097973,2023-12-17,2023-12-19,2
4524486097973,2024-06-13,2024-07-10,27
4524486097973,2025-05-05,2025-05-20,15
4524486103230,2023-03-20,2023-06-20,92
4524486103230,2023-10-06,2023-11-01,26
4524486103230,2025-10-01,2025-10-22,21
4524486103230,2025-12-24,2026-01-28,35
4524486103230,2026-03-03,2026-03-31,28
4524486103247,2023-03-19,2023-06-20,93
4524486103247,2024-01-16,2024-01-24,8
4524486103247,2025-05-08,2025-05-20,12
4524486103247,2026-03-03,2026-03-31,28
4524486103254,2023-05-10,2023-06-20,41
4524486103254,2023-11-01,2023-12-19,48
4524486106538,2024-03-25,2024-06-14,81
4524486106545,2024-05-09,2024-06-14,36
4524486106545,2025-01-27,2025-02-05,9
4524486106545,2025-07-14,2025-08-26,43
4524486106552,2024-04-23,2024-06-14,52
4524486106552,2024-07-19,2024-08-07,19
4524486106552,2024-12-13,2024-12-28,15
4524486106552,2025-01-31,2025-02-05,5
4524486107740,2024-09-19,2024-10-11,22
4524486109485,2025-01-19,2025-02-05,17
4524486109485,2025-03-07,2025-03-25,18
4524486109485,2025-04-01,2025-05-20,49
4524486109485,2025-07-11,2025-07-15,4
4524486109485,2025-12-15,2026-01-28,44
4524486109492,2025-01-14,2025-02-05,22
4524486109492,2025-03-10,2025-03-25,15
4524486109492,2025-04-23,2025-05-20,27
4524486109492,2025-06-09,2025-07-15,36
4524486109508,2024-11-08,2024-12-28,50
4524486109508,2024-11-18,2024-12-28,40
4524486109508,2025-01-08,2025-02-05,28
4524486109508,2025-02-17,2025-03-25,36
4524486109508,2025-04-23,2025-05-20,27
4524486109508,2025-12-23,2026-01-28,36
4524486109515,2024-10-01,2024-10-11,10
4524486109515,2025-04-07,2025-05-20,43
4524486109522,2024-09-20,2024-10-11,21
4524486109522,2025-02-12,2025-05-20,97
4524486109522,2026-03-10,2026-03-31,21
4524486111488,2025-04-23,2025-07-15,83
4524486111488,2026-01-06,2026-01-28,22
4524486111495,2025-03-15,2025-07-15,122
4524486111501,2025-03-14,2025-07-15,123
4524486111501,2025-12-09,2026-01-28,50
4524486114328,2025-12-18,2026-01-28,41
4524486114335,2025-12-18,2026-01-28,41
4524486114335,2026-02-27,2026-03-31,32
