倉庫コード,倉庫名,データ区分,商品コード,商品名,入数,ロケーションNo,入出荷日,伝票識別,伝票No,仕入単価,入荷数,出荷数,在庫数,入出荷先名
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2021-03-03,仕入,25240.0,5276.0,2.0,,2.0,IHSAN                                    
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2021-03-23,売上,298903.0,,,1.0,1.0,いちげん                                 
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2021-04-07,売上,300179.0,,,1.0,0.0,いちげん                                 
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2021-09-14,仕入,26669.0,4995.0,3.0,,3.0,IHSAN                                    
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2021-10-10,売上,313531.0,,,1.0,2.0,デグナー京都本店                         
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2022-02-16,売上,324519.0,,,1.0,0.0,ﾊﾟｰｸｱｯﾌﾟ株式会社                         
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2022-05-20,仕入,28816.0,5838.0,4.0,,4.0,IHSAN                                    
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2022-07-04,売上,337509.0,,,1.0,2.0,ANSIN MOTO CO.                           
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2022-07-25,売上,339420.0,,,1.0,1.0,デグナー京都本店                         
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2022-09-08,売上,342714.0,,,1.0,0.0,デグナー京都本店                         
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2022-11-11,仕入,30252.0,6802.0,6.0,,6.0,IHSAN                                    
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2022-11-15,売上,348878.0,,,1.0,,ﾅｯﾌﾟｽ 広島店                             14
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2022-11-18,売上,349235.0,,,1.0,3.0,デグナー京都本店                         
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2022-12-25,売上,351784.0,,,1.0,1.0,デグナー京都本店                         
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2023-02-16,仕入,30967.0,5925.0,3.0,,4.0,IHSAN                                    
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2023-04-09,売上,358964.0,,,1.0,1.0,いちげん                                 
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2023-04-14,仕入,31451.0,6085.0,3.0,,4.0,IHSAN                                    
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2023-06-20,仕入,31937.0,6378.0,3.0,,5.0,IHSAN                                    
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2023-07-27,売上,366263.0,,,1.0,4.0,デグナー京都本店                         
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2023-08-28,仕入,32394.0,6711.0,3.0,,7.0,IHSAN                                    
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2023-09-17,売上,369291.0,,,1.0,6.0,デグナー京都本店                         
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2023-11-01,仕入,32716.0,6915.0,7.0,,13.0,IHSAN                                    
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2023-11-28,売上,374141.0,,,1.0,11.0,PAPAMOTO                                 
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2023-12-05,売上,374582.0,,,1.0,10.0,ﾅｯﾌﾟｽ 浜松店                             16
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2023-12-13,売上,375092.0,,,-1.0,11.0,ﾅｯﾌﾟｽ 浜松店                             16
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2024-02-05,売上,377547.0,,,1.0,10.0,ﾗｲｺﾗﾝﾄﾞ TokyoBay東雲店                   2003 株式会社 ｺｼﾀﾞﾃｯｸ
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2024-09-13,売上,391573.0,,,1.0,9.0,いちげん                                 
0,共通倉庫,10,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,,,2024-10-21,売上,394073.0,,,1.0,8.0,デグナー京都本店                         
