商品コード,入出荷日,出荷数
4524486093630,2023-12-13,-1.0
4524486093630,2026-03-26,-1.0
4524486093647,2024-01-15,-1.0
4524486093647,2026-03-26,-1.0
4524486093654,2023-12-25,-1.0
4524486093654,2024-07-08,-1.0
4524486093654,2026-03-26,-1.0
4524486093661,2026-02-05,-1.0
4524486093678,2023-02-01,-1.0
4524486093678,2023-11-28,-1.0
4524486093678,2024-07-17,-1.0
4524486093678,2025-01-17,-1.0
4524486093678,2025-07-01,-1.0
4524486093685,2021-07-28,-1.0
4524486093685,2023-12-13,-1.0
4524486093685,2024-07-17,-1.0
4524486093692,2023-06-05,-1.0
4524486093692,2024-01-15,-1.0
4524486093692,2025-01-17,-1.0
4524486093692,2025-01-22,-1.0
4524486093692,2025-12-19,-1.0
4524486093708,2021-06-08,-1.0
4524486093708,2023-12-08,-1.0
4524486093708,2024-01-17,-1.0
4524486093708,2024-10-18,-1.0
4524486093708,2024-12-04,-1.0
4524486093708,2024-12-16,-1.0
4524486093708,2025-01-22,-1.0
4524486093708,2026-02-13,-1.0
4524486093715,2021-06-08,-1.0
4524486093715,2021-11-08,-1.0
4524486093715,2023-01-17,-1.0
4524486093715,2023-03-08,-1.0
4524486093715,2023-12-13,-1.0
4524486093715,2024-01-15,-1.0
4524486093715,2025-01-17,-1.0
4524486093715,2025-01-22,-1.0
4524486093715,2025-03-19,-1.0
4524486093715,2025-12-08,-1.0
4524486094958,2023-11-28,-1.0
4524486094965,2024-01-15,-1.0
4524486094965,2026-03-26,-1.0
4524486094972,2024-03-07,-1.0
4524486094972,2024-10-04,-1.0
4524486094972,2025-03-18,-1.0
4524486097959,2022-10-06,-1.0
4524486097959,2024-10-04,-1.0
4524486097959,2026-03-26,-1.0
4524486097966,2023-12-13,-1.0
4524486097966,2025-08-20,-1.0
4524486097973,2025-01-22,-1.0
4524486097973,2025-06-19,-1.0
4524486097973,2025-07-18,-1.0
4524486103247,2023-11-28,-1.0
4524486103247,2023-12-13,-1.0
4524486103254,2024-01-15,-1.0
4524486106538,2025-12-19,-1.0
4524486106545,2025-02-20,-1.0
4524486106552,2024-08-23,-1.0
4524486107559,2024-09-03,-1.0
4524486107566,2024-09-03,-1.0
4524486109485,2024-11-13,-1.0
4524486109492,2024-11-13,-1.0
4524486109508,2024-11-13,-1.0
4524486109515,2024-11-13,-1.0
4524486109515,2025-01-22,-1.0
4524486109515,2025-07-18,-1.0
4524486109522,2024-11-13,-1.0
4524486109522,2026-02-13,-1.0
4524486111488,2026-03-26,-2.0
4524486111495,2025-09-16,-1.0
4524486111495,2026-03-09,-1.0
4524486111501,2025-09-16,-1.0
