date,region,station,temp_avg_c,temp_max_c,temp_min_c,precip_mm,sunshine_h,snowfall_cm,humidity_pct
2015-01-01,中国,山口,-0.1,4.8,-3.0,1.0,2.5,2.0,70.0
2015-01-01,中国,岡山,1.5,3.8,-0.5,0.0,6.4,0.0,60.0
2015-01-01,中国,広島,1.1,4.1,-0.9,1.0,5.6,2.0,66.0
2015-01-01,中国,松江,0.4,4.0,-1.5,18.0,0.3,18.0,81.0
2015-01-01,中国,浜田,2.0,5.6,-1.2,0.0,0.1,,57.0
2015-01-01,中国,福山,0.9,3.0,-2.3,0.0,5.8,,70.0
2015-01-01,中国,鳥取,0.7,3.1,-1.4,34.0,0.0,28.0,77.0
2015-01-01,中部,名古屋,1.6,5.1,-0.5,1.0,2.2,0.0,74.0
2015-01-01,中部,四日市,2.2,6.0,-0.9,4.0,6.4,,69.0
2015-01-01,中部,富山,-0.6,1.2,-1.5,27.5,0.0,33.0,88.0
2015-01-01,中部,尾鷲,3.8,8.0,1.1,0.0,5.6,,50.0
2015-01-01,中部,敦賀,1.1,4.6,-1.1,48.5,0.0,27.0,86.0
2015-01-01,中部,新潟,0.8,2.1,-0.6,1.5,0.0,2.0,67.0
2015-01-01,中部,松本,-3.0,0.6,-5.7,0.5,0.0,1.0,69.0
2015-01-01,中部,浜松,3.1,7.1,-0.1,0.0,7.3,,60.0
2015-01-01,中部,甲府,1.3,5.4,-3.0,0.0,3.0,0.0,47.0
2015-01-01,中部,福井,0.0,2.1,-1.2,37.5,0.0,32.0,91.0
2015-01-01,中部,軽井沢,-6.6,-2.6,-9.9,0.0,1.0,0.0,85.0
2015-01-01,中部,金沢,0.2,1.5,-1.1,19.0,0.0,21.0,82.0
2015-01-01,中部,長野,-3.1,0.1,-5.4,1.5,0.0,4.0,89.0
2015-01-01,中部,静岡,5.1,9.3,0.5,0.0,9.5,,41.0
2015-01-01,中部,飯田,-2.1,2.5,-6.1,1.5,0.3,2.0,74.0
2015-01-01,九州沖縄,佐世保,2.9,6.0,0.6,1.5,2.3,,57.0
2015-01-01,九州沖縄,佐賀,1.8,5.5,-1.5,0.5,3.8,1.0,61.0
2015-01-01,九州沖縄,大分,1.9,6.2,-0.7,0.0,0.7,0.0,58.0
2015-01-01,九州沖縄,宮崎,4.3,7.2,0.3,0.0,8.1,,47.0
2015-01-01,九州沖縄,熊本,2.2,5.9,-1.3,0.0,6.6,0.0,56.0
2015-01-01,九州沖縄,福岡,2.8,5.9,-0.5,1.5,0.8,1.0,50.0
2015-01-01,九州沖縄,那覇,14.2,16.3,13.2,0.0,1.4,,54.0
2015-01-01,九州沖縄,鹿児島,3.9,8.2,1.6,3.0,0.4,0.0,74.0
2015-01-01,北海道,函館,-3.5,1.2,-8.2,1.5,5.6,3.0,79.0
2015-01-01,北海道,小樽,-3.3,-1.5,-6.7,5.5,4.1,13.0,78.0
2015-01-01,北海道,帯広,-7.9,-2.8,-14.3,0.0,5.2,0.0,75.0
