ダウンロードした時刻：2026/04/07 17:16:33

,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均湿度(％),平均湿度(％),平均湿度(％)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号
2015/1/1,1.8,8,1,5.5,8,1,-1.5,8,1,0.5,0,8,1,3.8,0,8,1,1,0,8,1,61,8,1
2015/1/2,3.1,8,1,6.1,8,1,-1.0,8,1,0.5,0,8,1,2.1,0,8,1,0,1,8,1,71,8,1
2015/1/3,3.0,8,1,8.0,8,1,-2.1,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,73,8,1
2015/1/4,7.2,8,1,12.6,8,1,1.9,8,1,0.0,0,8,1,4.2,0,8,1,0,1,8,1,80,8,1
2015/1/5,8.0,8,1,13.5,8,1,2.4,8,1,0,1,8,1,3.2,0,8,1,0,1,8,1,80,8,1
2015/1/6,10.7,8,1,15.0,8,1,5.3,8,1,13.5,0,8,1,3.7,0,8,1,0,1,8,1,76,8,1
2015/1/7,6.3,8,1,10.5,8,1,2.7,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,53,8,1
2015/1/8,4.4,8,1,9.4,8,1,0.4,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,60,8,1
2015/1/9,4.9,8,1,10.9,8,1,-0.8,8,1,0,1,8,1,7.9,0,8,1,0,1,8,1,68,8,1
2015/1/10,7.6,8,1,11.7,8,1,2.8,8,1,0.0,0,8,1,6.7,0,8,1,0,1,8,1,54,8,1
2015/1/11,6.5,8,1,13.2,8,1,0.9,8,1,0.0,0,8,1,6.5,0,8,1,0,1,8,1,64,8,1
2015/1/12,5.1,8,1,8.8,8,1,1.0,8,1,0.0,0,8,1,4.4,0,8,1,0,1,8,1,66,8,1
2015/1/13,6.6,8,1,12.2,8,1,0.7,8,1,0,1,8,1,5.7,0,8,1,0,1,8,1,62,8,1
2015/1/14,7.9,8,1,11.0,8,1,6.0,8,1,5.0,0,8,1,0.0,0,8,1,0,1,8,1,74,8,1
2015/1/15,10.0,8,1,12.6,5,1,7.3,5,1,21.5,0,8,1,0.3,0,8,1,0,1,8,1,81,8,1
2015/1/16,8.0,8,1,10.7,8,1,3.6,8,1,0.0,0,8,1,4.1,0,8,1,0,1,8,1,82,8,1
2015/1/17,6.4,8,1,9.1,8,1,1.2,8,1,0.0,0,8,1,7.1,0,8,1,0,1,8,1,50,8,1
2015/1/18,4.2,8,1,9.8,8,1,-1.7,8,1,0.0,0,8,1,4.3,0,8,1,0,1,8,1,72,8,1
2015/1/19,8.1,8,1,11.5,8,1,3.7,8,1,0.0,0,8,1,6.3,0,8,1,0,1,8,1,59,8,1
2015/1/20,7.4,8,1,12.7,8,1,3.7,8,1,0,1,8,1,8.7,0,8,1,0,1,8,1,68,8,1
2015/1/21,8.5,8,1,12.2,8,1,5.8,8,1,9.0,0,8,1,0.0,0,8,1,0,1,8,1,82,8,1
2015/1/22,7.8,8,1,10.2,8,1,5.7,8,1,9.5,0,8,1,0.0,0,8,1,0,1,8,1,89,8,1
2015/1/23,7.3,8,1,11.0,8,1,2.8,8,1,0.0,0,8,1,6.0,0,8,1,0,1,8,1,62,8,1
2015/1/24,6.0,8,1,12.2,8,1,1.0,8,1,0,1,8,1,6.2,0,8,1,0,1,8,1,77,8,1
