É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/07 17:25:24

,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì)
,,,,,,,,,,,,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2015/1/1,-0.6,8,1,1.2,8,1,-1.5,8,1,27.5,0,8,1,0.0,0,8,1,33,0,8,1,88,8,1
2015/1/2,0.3,8,1,2.9,8,1,-2.4,8,1,19.0,0,8,1,0.9,0,8,1,21,0,8,1,80,8,1
2015/1/3,1.1,8,1,4.0,8,1,-1.5,8,1,6.5,0,8,1,1.5,0,8,1,9,0,8,1,82,8,1
2015/1/4,3.1,8,1,4.6,8,1,2.3,8,1,15.5,0,8,1,0.0,0,8,1,0,1,8,1,78,8,1
2015/1/5,4.0,8,1,8.1,8,1,1.6,8,1,0.0,0,8,1,6.4,0,8,1,0,1,8,1,76,8,1
2015/1/6,6.5,8,1,10.2,8,1,0.4,8,1,14.5,0,8,1,0.0,0,8,1,1,0,8,1,67,8,1
2015/1/7,0.6,8,1,1.4,8,1,-0.4,8,1,5.0,0,8,1,0.0,0,8,1,5,0,8,1,89,8,1
2015/1/8,1.1,8,1,3.1,8,1,0.2,8,1,6.5,0,8,1,0.2,0,8,1,4,0,8,1,90,8,1
2015/1/9,1.6,8,1,3.3,8,1,0.4,8,1,6.0,0,8,1,0.3,0,8,1,0,1,8,1,88,8,1
