É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/07 17:32:21

,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì)
,,,,,,,,,,,,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2015/1/1,1.3,8,1,5.4,8,1,-3.0,8,1,0.0,0,8,1,3.0,0,8,1,0,1,8,1,47,8,1
2015/1/2,-0.2,8,1,5.8,8,1,-6.1,8,1,0,1,8,1,6.6,0,8,1,0,1,8,1,45,8,1
2015/1/3,2.3,8,1,9.7,8,1,-4.0,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,42,8,1
2015/1/4,1.2,8,1,8.3,8,1,-4.7,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,57,8,1
2015/1/5,3.4,8,1,11.9,8,1,-3.5,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,62,8,1
2015/1/6,3.2,8,1,8.1,8,1,-0.1,8,1,7.0,0,8,1,1.1,0,8,1,0,1,8,1,77,8,1
2015/1/7,5.6,8,1,10.6,8,1,0.1,8,1,0,1,8,1,8.7,0,8,1,0,1,8,1,27,8,1
2015/1/8,4.1,8,1,9.6,8,1,-1.8,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,29,8,1
2015/1/9,5.5,8,1,10.7,8,1,-0.9,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,25,8,1
2015/1/10,4.0,8,1,10.1,8,1,-1.4,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,33,8,1
