ダウンロードした時刻：2026/04/07 16:53:27

,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均湿度(％),平均湿度(％),平均湿度(％)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号
2015/1/1,0.6,8,1,3.0,8,1,-1.1,8,1,29.0,0,8,1,3.4,0,8,1,33,0,8,1,91,8,1
2015/1/2,0.4,8,1,2.4,8,1,-1.2,8,1,16.5,0,8,1,0.9,0,8,1,9,0,8,1,93,8,1
2015/1/3,0.8,8,1,3.5,8,1,-1.0,8,1,3.0,0,8,1,2.3,0,8,1,0,1,8,1,98,8,1
2015/1/4,2.3,8,1,5.9,8,1,-0.7,8,1,0.0,0,8,1,3.9,0,8,1,0,1,8,1,95,8,1
2015/1/5,3.2,8,1,6.8,8,1,1.3,8,1,0.5,0,8,1,5.9,0,8,1,0,1,8,1,95,8,1
2015/1/6,7.0,8,1,11.3,8,1,3.5,8,1,8.0,0,8,1,0.0,0,8,1,0,1,8,1,85,8,1
2015/1/7,2.8,8,1,4.7,8,1,1.2,8,1,8.5,0,8,1,0.6,0,8,1,0,1,8,1,93,8,1
2015/1/8,3.2,8,1,5.4,8,1,1.4,8,1,4.5,0,8,1,1.1,0,8,1,0,1,8,1,86,8,1
2015/1/9,2.5,8,1,4.4,8,1,1.5,8,1,8.0,0,8,1,0.0,0,8,1,0,1,8,1,99,8,1
2015/1/10,2.6,8,1,5.3,8,1,0.5,8,1,14.0,0,8,1,1.4,0,8,1,0,1,8,1,95,8,1
2015/1/11,3.7,8,1,9.6,8,1,0.1,8,1,12.0,0,8,1,5.6,0,8,1,0,1,8,1,81,8,1
2015/1/12,3.2,8,1,5.6,8,1,1.5,8,1,3.0,0,8,1,1.5,0,8,1,0,1,8,1,83,8,1
2015/1/13,5.5,8,1,7.6,8,1,1.5,8,1,0.0,0,8,1,0.1,0,8,1,0,1,8,1,67,8,1
2015/1/14,3.0,8,1,6.8,8,1,-1.1,8,1,0,1,8,1,1.0,0,8,1,0,1,8,1,88,8,1
2015/1/15,5.7,8,1,8.6,8,1,3.3,8,1,43.0,0,8,1,0.0,0,8,1,0,1,8,1,90,8,1
2015/1/16,6.2,8,1,9.3,8,1,2.7,8,1,0.0,0,8,1,1.0,0,8,1,0,1,8,1,74,8,1
2015/1/17,2.8,8,1,6.4,8,1,0.5,8,1,18.5,0,8,1,0.1,0,8,1,0,1,8,1,90,8,1
2015/1/18,2.4,8,1,6.5,8,1,0.4,8,1,1.0,0,8,1,3.4,0,8,1,0,1,8,1,96,8,1
2015/1/19,3.7,8,1,7.3,8,1,0.7,8,1,18.5,0,8,1,2.3,0,8,1,0,1,8,1,92,8,1
2015/1/20,3.6,8,1,5.8,8,1,0.5,8,1,5.0,0,8,1,0.0,0,8,1,0,1,8,1,96,8,1
2015/1/21,3.1,8,1,7.7,8,1,-0.3,8,1,0.5,0,8,1,0.5,0,8,1,0,1,8,1,93,8,1
2015/1/22,5.8,8,1,8.5,8,1,4.0,8,1,15.0,0,8,1,0.0,0,8,1,0,1,8,1,100,8,1
2015/1/23,6.0,8,1,9.3,8,1,3.5,8,1,12.0,0,8,1,0.3,0,8,1,0,1,8,1,72,8,1
2015/1/24,6.0,8,1,10.9,8,1,2.6,8,1,0.0,0,8,1,3.7,0,8,1,0,1,8,1,76,8,1
