É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/07 17:31:23

,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì)
,,,,,,,,,,,,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2015/1/1,-6.6,8,1,-2.6,8,1,-9.9,8,1,0.0,0,8,1,1.0,0,8,1,0,1,8,1,85,8,1
2015/1/2,-6.7,8,1,-0.5,8,1,-13.7,8,1,0.0,0,8,1,6.8,0,8,1,1,0,8,1,74,8,1
2015/1/3,-5.7,8,1,-0.3,8,1,-9.4,8,1,0.0,0,8,1,9.2,0,8,1,0,1,8,1,78,8,1
2015/1/4,-3.5,8,1,4.9,8,1,-11.2,8,1,0.0,0,8,1,7.5,0,8,1,0,1,8,1,76,8,1
2015/1/5,-1.7,8,1,3.4,8,1,-4.2,8,1,0.0,0,8,1,4.6,0,8,1,0,1,8,1,83,8,1
2015/1/6,0.7,8,1,6.4,8,1,-4.7,8,1,1.5,0,8,1,0.1,0,8,1,1,0,8,1,78,8,1
2015/1/7,-4.5,8,1,1.3,8,1,-8.2,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,70,8,1
