É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/07 17:19:33

,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì)
,,,,,,,,,,,,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2015/1/1,14.2,8,1,16.3,8,1,13.2,8,1,0.0,0,8,1,1.4,0,8,1,,,0,1,54,8,1
2015/1/2,14.4,8,1,16.4,8,1,13.2,8,1,0.0,0,8,1,0.2,0,8,1,,,0,1,51,8,1
2015/1/3,14.6,8,1,17.5,8,1,11.7,8,1,0,1,8,1,3.9,0,8,1,,,0,1,55,8,1
2015/1/4,15.6,8,1,20.5,8,1,10.8,8,1,0,1,8,1,9.3,0,8,1,,,0,1,64,8,1
2015/1/5,17.6,8,1,22.3,8,1,12.4,8,1,0,1,8,1,7.6,0,8,1,,,0,1,69,8,1
2015/1/6,19.4,8,1,22.2,8,1,15.5,8,1,1.5,0,8,1,0.0,0,8,1,,,0,1,73,8,1
2015/1/7,16.8,8,1,18.6,8,1,15.0,8,1,0.0,0,8,1,0.0,0,8,1,,,0,1,69,8,1
2015/1/8,15.1,8,1,15.7,8,1,14.5,8,1,0.0,0,8,1,0.0,0,8,1,,,0,1,55,8,1
2015/1/9,15.8,8,1,17.2,8,1,14.8,8,1,0.0,0,8,1,0.0,0,8,1,,,0,1,52,8,1
